#prodID	Amazon ID
39466	B000F4RHV6
67478	B0029Z8KCY
78072	B000A8AY6C
84049	B003ZG3GAM
74522	B0071AD95K
11333	6302491479
39546	B000NDFLWG
47866	B000WI23KA
16167	B0007Z9RCA
23277	B000TM048C
4304	B0001G6PZC
63803	B000VDDDUK
46619	B000JQY7UE
86219	B00492SA52
17310	B0007Z9RCU
44065	B000T8YZYA
84451	B000OIOSF6
8153	B00027JYMG
57496	1562229567
65007	B002OHDRF2
41063	B000T4SWXO
84436	B000OIOSFG
68217	B001CCMLR0
1230	6300147967
64712	B001US3XS2
79522	B000U35DPE
7967	0940871637
49560	B000U35DPO
76414	1893792285
7686	B00064N6VU
22443	B0080730LQ
68507	B0002910TY
58464	B001LT79W6
22976	B000CDSS86
75708	B0036Q2RR4
15429	B0006FFRD4
29574	B000F9T6ZG
40626	B000PWQP8E
18370	B0009Y2LTU
18620	B0000060T0
68117	B002B900BM
36768	6301248546
62266	630187837X
84315	B0036BDQ38
33010	B0002BO0V2
58377	B000BB1NFO
88118	0944049117
38430	B00020HBN2
81506	B004478570
45875	B000XEDVEA
74464	B002YFHWCS
68718	B001B0CY3E
81407	B002VEER3O
5531	6305949816
84631	B0042AH2I2
13629	B0006J27Y2
46705	B000GAKJXM
88690	B0099VUXCQ
56868	B0001A9JEW
15171	B00032OG3C
17225	B00096S43U
51840	B00020HBNW
1615	B00022VM5S
51756	B000SKO8DC
16480	B00096S43K
4044	B00022VM5I
16963	B00096S43A
13634	B00020HBNC
72672	B004SYOIQQ
82955	B000OTK3RW
47828	B0012EM5GK
13581	B0002V7TJM
12084	B0002V7TJC
31491	B000GB5M5Q
40613	B000MRA54M
44350	6302760046
31024	B000GBEWLQ
80794	B006FYGF8Q
30893	B00005O6XZ
80571	B0042800WE
63827	B0017VG668
48479	B005G5PNOW
5883	B0002DFWHQ
57421	B001I7HLTW
15981	B00062IZGI
8298	B0001Z3HIG
58383	B001ILHY9U
66329	B00284EM3M
32140	B00062IZGS
9080	B0002DFWHG
28841	B000CNET2A
55113	B003QWVPTE
76429	B000XXWE1C
51696	B000CNET2K
53723	B00284EM3C
73415	B00005RJJT
51710	B000Q9LQ7G
48331	B000ZBEOGK
82260	B0048KQQC4
75353	B0030ZOYW2
76818	B002CWKTSC
7297	6300246299
15426	B004GIZX3Q
72520	B001E6V3Q4
38784	B000HKYN7O
4601	B0000WU79M
7560	B0000WU79C
17956	B000A1BM2Y
37601	B000Q7ZNZ4
37137	B000LP51I0
38736	B00000IC8I
48240	B000ZBEOG0
51617	B001E6JCBC
70173	B000XXWE1W
16059	B0000048VH
56975	B000CNET20
75634	B003QWVPT4
85282	B0031Z5RWW
355	B0041XQRR2
32168	B000JBWWNI
44181	B000VU2NLS
34578	1572524634
30456	B000FOR9XM
88803	B004EPYZQM
69492	B002RS7N6M
51194	B0014567LQ
69369	1571884513
69038	B001ILKUVO
11527	B0002IQG2G
32034	B000H5U5IK
62185	B001J88VJY
75996	B004AX5J5E
3326	B009RAF860
34732	B0006VY6MG
70712	B000HT3PV0
47443	B000VFU5J0
40035	B000H5U5IU
74932	B0030HCPLW
9381	B0000CD5J8
82853	B004IMZJJI
5591	B00009OWJZ
15432	B0007ORDMW
52409	B000NQRRCA
45865	B000W2FI7Q
39070	B000L21DO4
80743	B0043VZ30Y
9432	B001N8Z8K0
84460	B00433TOWA
67641	B000LRM6J0
64323	B000CEV3CS
32613	B000GALHPG
18718	B00013EY80
46282	B000JBXHBY
11458	B0000TPAVK
77949	B003BV8IBI
27278	B000F6ZPKY
6505	6304880677
32605	B000GALHPQ
82284	B003V3FTYU
29084	B000F6ZPKO
77523	B003HE4FBG
14215	6303359329
13980	6305340854
75569	B002DZG87E
53205	B001D3GJ0S
68416	B000MF8L1S
35003	6302380472
1546	B0094MOQ0K
45185	B000TGUUG4
15521	B0035YKW0Q
81358	B0043RGMZI
15463	6304040164
52677	B000EXDRLC
31823	B000H5U5I0
67215	B002IN0RAU
40355	B000NVI2JM
13215	B000NVL49W
61651	6302149525
61664	B001NZWEI2
53306	B001B9YBSQ
20044	B0008FXSTM
57780	B0019GO5EG
42163	B000NVL49M
390	B0000764K0
80562	B003HKN50W
86220	B001OASRAA
20014	B000A88FAE
88282	B004H88WB0
9057	B0001Y4MP4
82384	B002KFPMBA
84423	B000OIOSFQ
18619	B0009OUC5U
5716	6300135233
85963	B002TV20LA
13152	6303561284
45398	B000VZAV62
64790	B0011VJRXS
11548	B0002PYS4M
43092	B0007M21Y4
83944	B003WKQ46E
9275	B0001Y4MPY
19728	B000A88FA4
